chemical_id,active_ingredient,formulation,target_crops,target_pests_diseases,dosage_per_liter,dosage_per_acre,water_volume_l_acre,toxicity_band,phi_days,safety_instructions
CIBRC-001,Tricyclazole,75% WP,Rice,Rice Blast & Neck Blast,0.6g,120-150g,200L,Blue Triangle (Class III Moderately Toxic),30,Wear protective gloves; spray at early tillering and panicle emergence; avoid water drainage into fish ponds
CIBRC-002,Copper Oxychloride,50% WP,"Rice, Tomato, Potato, Citrus, Chili","Bacterial Blight, Late Blight, Citrus Canker",2.5g,500g,200L,Blue Triangle (Class III Moderately Toxic),15,Do not mix with acidic chemicals or organophosphates; ensure uniform coverage of foliage
CIBRC-003,Validamycin,3% L,Rice,Sheath Blight,2.5ml,500ml,200L,Green Triangle (Class IV Slightly Toxic),14,Biological fermentation derivative; safe for beneficial parasitoids; spray directed at lower leaf sheaths
CIBRC-004,Propiconazole,25% EC,"Wheat, Rice, Groundnut, Soybean","Yellow Rust, Tikka Leaf Spot, Sheath Rot",1.0ml,200ml,200L,Blue Triangle (Class III Moderately Toxic),30,Apply at first sign of rust pustule on flag leaf; do not spray during high mid-day temperature
CIBRC-005,Mancozeb,75% WP,"Tomato, Potato, Onion, Wheat, Groundnut","Early Blight, Late Blight, Purple Blotch, Tikka",2.5g,500-600g,200-250L,Green Triangle (Class IV Slightly Toxic),15,Broad spectrum protective multi-site fungicide; add agricultural wetting sticker on waxy foliage
CIBRC-006,Dimethomorph,50% WP,"Tomato, Potato, Grapes",Late Blight & Downy Mildew,1.0g,200g,200L,Green Triangle (Class IV Slightly Toxic),14,Anti-sporulant systemic fungicide; rotate with Mancozeb to prevent pathogen resistance development
CIBRC-007,Chlorantraniliprole,18.5% SC,"Maize, Cotton, Rice, Tomato, Pulses","Fall Armyworm, Stem Borer, Bollworm, Fruit Borer",0.3ml,60ml,200L,Green Triangle (Class IV Slightly Toxic),7,Ryanodine receptor modulator with high safety margin for pollinators and predatory spiders
CIBRC-008,Emamectin Benzoate,5% SG,"Maize, Cotton, Chickpea, Vegetables","Fall Armyworm, Pod Borer, Spodoptera",0.4g,80-100g,200L,Blue Triangle (Class III Moderately Toxic),5,Semi-synthetic avermectin; direct spray into crop whorls or growing points in late evening
CIBRC-009,Pymetrozine,50% WG,Rice,Brown Planthopper (BPH) & White-backed Planthopper,0.6g,120-150g,200-250L,Green Triangle (Class IV Slightly Toxic),19,Selective antifeedant targeting sucking stylets; harmless to spiders and predatory mirid bugs
CIBRC-010,Thiamethoxam,25% WG,"Wheat, Mustard, Cotton, Tomato, Citrus","Aphids, Whiteflies, Jassids, Citrus Psylla",0.3g,60-80g,200L,Blue Triangle (Class III Moderately Toxic),21,Neonicotinoid with excellent translaminar uptake; toxic to honeybees; avoid spraying during active foraging hours
CIBRC-011,Spinosad,45% SC,"Cotton, Chili, Tomato, Eggplant","Thrips, Fruit Borer, Leaf Miner",0.3ml,60-75ml,200L,Green Triangle (Class IV Slightly Toxic),3,Derived from soil bacterium Saccharopolyspora; very low mammalian toxicity; breaks down quickly in sunlight
CIBRC-012,Diafenthiuron,50% WP,"Cotton, Chili, Tomato, Eggplant","Whiteflies, Thrips, Mites",1.2g,250g,200L,Yellow Triangle (Class II Highly Toxic),21,Pro-insecticide photo-activated by sunlight into carbodiimide; wear respirator mask during application
CIBRC-013,Hexaconazole,5% EC,"Soybean, Groundnut, Wheat, Mango","Soybean Rust, Powdery Mildew, Anthracnose",2.0ml,400ml,200L,Blue Triangle (Class III Moderately Toxic),21,Triazole systemic curative fungicide; spray upon first detection of lower canopy leaf lesions
CIBRC-014,Azoxystrobin,23% SC,"Soybean, Chili, Tomato, Maize","Anthracnose, Leaf Blight, Fruit Rot",1.0ml,200ml,200L,Blue Triangle (Class III Moderately Toxic),7,Strobilurin class inhibiting mitochondrial respiration; excellent greening effect and crop vigor enhancer
CIBRC-015,Indoxacarb,14.5% SC,"Cotton, Chickpea, Tomato, Pigeon Pea","Pink Bollworm, Helicoverpa Pod Borer",0.75ml,150-200ml,200L,Blue Triangle (Class III Moderately Toxic),14,Oxadiazine sodium channel blocker; effective against pyrethroid-resistant caterpillar populations
CIBRC-016,Neem Oil / Azadirachtin,1500 PPM,All Crops (Universal),"Aphids, Whiteflies, Thrips, Young Caterpillars",3.5ml,700-1000ml,200L,Green Triangle (Class IV Non-Toxic Organic),0,"Certified organic bio-pesticide; zero pre-harvest interval; safe for bees, fish, and soil microorganisms"
CIBRC-017,Trichoderma viride,1% WP (Bio-fungicide),All Crops (Universal),"Soil-borne Root Rot, Wilt, Collar Rot, Seedling Blight",5.0g,1000g,200L,Green Triangle (Class IV Non-Toxic Organic),0,Beneficial fungal antagonist; apply as seed dressing (10g/kg) or soil drench mixed in farmyard compost
CIBRC-018,Pseudomonas fluorescens,1% WP (Bio-bactericide),"Rice, Cotton, Vegetables","Bacterial Blight, Sheath Rot, Blast",5.0g,1000g,200L,Green Triangle (Class IV Non-Toxic Organic),0,Produces plant growth promoting siderophores and suppresses phytopathogenic bacteria and fungi
CIBRC-019,Beauveria bassiana,1.15% WP (Bio-insecticide),"Maize, Cotton, Rice, Citrus","Stem Borer, Whiteflies, Thrips, Weevils",5.0g,1000g,200L,Green Triangle (Class IV Non-Toxic Organic),0,Entomopathogenic fungus; apply during high humidity or evening hours to promote fungal spore penetration
CIBRC-020,Spiromesifen,22.9% SC,"Cotton, Tomato, Chili, Eggplant","Red Spider Mites, Whitefly Nymphs",1.0ml,200ml,200L,Blue Triangle (Class III Moderately Toxic),10,Lipid biosynthesis inhibitor (LBI); outstanding control of nymphal stages and sterilizes female eggs
