calendar_id,crop,season,duration_days,optimal_sowing_window,critical_stages,gdd_c_days,peak_vulnerability_stage,high_risk_threats,agronomic_milestone_actions
CAL-001,Rice (Paddy),Kharif / Wet Season,120-145,June 15 - July 15,"Nursery (20d), Tillering (40d), Panicle (65d), Flowering (85d), Milking (105d), Maturity (130d)",2100-2400,"Tillering & Panicle Emergence","Rice Blast, Stem Borer, Bacterial Leaf Blight","Drain nursery beds 2 days before transplant; maintain 2-3 cm standing water at panicle stage; stop water 10 days before harvest"
CAL-002,Wheat,Rabi / Winter Season,115-135,November 1 - November 25,"Crown Root Initiation (21d), Tillering (45d), Jointing (65d), Heading (85d), Milking (105d), Dough (120d)",1600-1800,"CRI Stage & Heading","Yellow Rust, Aphids, Termites, Loose Smut","First irrigation at CRI (21 days) is critical for tillering; avoid delay in sowing beyond Nov 30 to escape terminal heat stress"
CAL-003,Cotton (Hybrid / Bt),Kharif / Rainy Season,160-180,May 25 - June 20,"Germination (7d), Square Formation (45d), Flowering (70d), Boll Formation (95d), Boll Opening (130d), Harvest (160d)",2600-3000,"Square Formation to Boll Filling","Pink Bollworm, Thrips, Whiteflies, Bacterial Blight","Install pheromone traps at 45 days; detop plants at 85 days to curb vegetative growth; monitor square drop weekly"
CAL-004,Soybean,Kharif / Rainy Season,90-105,June 20 - July 10,"Emergence (5d), Vegetative (25d), Flowering (45d), Pod Formation (65d), Seed Fill (80d), Maturity (95d)",1300-1500,"Flowering & Pod Development","Soybean Rust, Stem Fly, Anthracnose, Spodoptera","Seed treatment with Rhizobium and Trichoderma; avoid water stagnation during germination; spray fungicide at first rust sighting"
CAL-005,Maize (Corn),Kharif & Rabi Seasons,95-115,June 15 - July 10 (Kharif) / Oct 15 - Nov 15 (Rabi),"Knee-High (30d), Tasseling (55d), Silking (62d), Milking (80d), Dough (95d), Maturity (105d)",1700-2000,"Knee-High to Tasseling","Fall Armyworm (FAW), Maydis Leaf Blight, Stem Borer","Check central whorls weekly for FAW egg masses; ensure moisture availability during silking and grain filling stages"
CAL-006,Tomato,Year-Round (Rabi & Kharif),110-140,July-August (Kharif) / Oct-Nov (Rabi) / Jan-Feb (Zaid),"Transplanting (25d), Vegetative (45d), Flowering (60d), Fruit Set (75d), Harvest (90-130d)",1500-1800,"Flowering & Early Fruiting","Early Blight, Late Blight, Whiteflies, Fruit Borer","Stake indeterminate plants upright; mulch with straw to prevent soil splash; deploy yellow sticky cards and pheromone traps"
CAL-007,Potato,Rabi / Winter Season,90-110,October 15 - November 10,"Sprouting (15d), Vegetative (35d), Tuber Initiation (50d), Tuber Bulking (70d), Senescence (90d), Harvest (105d)",1200-1400,"Tuber Bulking Stage","Late Blight, Black Scurf, Aphids, Tuber Rot","Earth up ridges to 15 cm at 30 days; prophylactic mancozeb spray before foggy spell; haulm cutting 10 days before harvest"
CAL-008,Sugarcane,Annual / Perennial,300-360,January - March (Spring) / Oct - Nov (Autumn),"Germination (40d), Formative / Tillering (120d), Grand Growth (240d), Ripening & Maturity (330d)",4500-5200,"Formative & Grand Growth","Red Rot, Early Shoot Borer, Top Borer, Pyrilla","Trash mulching to conserve moisture; earthing up to prevent lodging; hot water seed treatment (52C 30 min) to eradicate red rot"
CAL-009,Groundnut (Peanut),Kharif & Summer,105-125,June 15 - July 15 (Kharif) / Jan 15 - Feb 15 (Summer),"Emergence (7d), Flowering (30d), Pegging (45d), Pod Formation (70d), Pod Maturation (100d), Harvest (115d)",1600-1900,"Pegging & Pod Formation","Tikka Leaf Spot, Collar Rot, Thrips, White Grubs","Do not disturb soil after pegging starts; apply gypsum (200 kg/ha) at pegging for calcium uptake; prevent water stagnation"
CAL-010,Chickpea (Gram),Rabi / Winter Season,100-120,October 15 - November 10,"Seedling (20d), Branching (40d), Flowering (60d), Pod Development (80d), Maturity (105d)",1400-1650,"Flowering & Podding","Fusarium Wilt, Helicoverpa Pod Borer, Ascochyta Blight","Nip terminal shoots at 35-40 days to promote lateral branching; install bird perches @ 25/acre; avoid excess irrigation"
CAL-011,Mustard / Rapeseed,Rabi / Winter Season,110-130,October 1 - October 25,"Germination (5d), Rosette (30d), Flowering (55d), Siliqua Formation (75d), Seed Fill (95d), Harvest (115d)",1400-1600,"Flowering & Siliqua Development","Mustard Aphids, White Rust, Alternaria Blight","Sow early in October to escape aphid explosion; thin plants to 10-15 cm intra-row spacing; spray dimethoate at ETL"
CAL-012,Citrus (Mandarin / Sweet Orange),Perennial Orchard,365 (Year-round),"Ambe Bahar (Jan-Feb) / Mrig Bahar (June)","Flush Emergence, Anthesis / Bloom, Fruit Set, Fruit Enlargement, Color Break, Harvest",3200-3800,"New Vegetative Flush & Fruit Set","Citrus Psylla, Leaf Miner, Citrus Canker, Gummosis","Withhold water for 30-40 days before bloom to induce flowering; prune dry twigs; paint trunks with Bordeaux paste 1:1:10"
