record_id,field_id,date,state,district,crop,crop_variety,growth_stage,crop_age_days,area_acres,soil_type,soil_ph,nitrogen,phosphorus,potassium,soil_moisture,temperature,humidity,rainfall,rain_probability,wind_speed,leaf_wetness_hours,sunlight_hours,irrigation_level,previous_disease,previous_pest,disease_history,pest_history,ndvi,vegetation_health,disease,disease_probability,pest,pest_probability,severity,risk_score,risk_level,recommended_action,data_source
REC_07481,FIELD_021,2026-01-24,Punjab,Ludhiana,Rice,IR-64 High-Yield,Booting,77,15.0,Clay Loam,7.73,88,41,59,86.8,31.3,92.3,39.1,0.86,13.3,15.1,4.0,Excessive,0,0,None,Moderate,0.621,58.5,Bacterial Leaf Blight,0.76,None,0.08,HIGH,55.1,HIGH,Apply Copper Oxychloride 50 WP with Streptomycin; ensure drainage,synthetic_training_data
REC_00795,FIELD_059,2025-06-24,Uttar Pradesh,Meerut,Wheat,Sharbati Gold,Seedling,16,7.9,Loam,6.18,73,16,45,71.4,14.1,90.9,21.9,0.97,9.7,5.1,4.2,Rainfed,0,1,Low,High,0.602,50.6,Wheat Yellow Rust,0.77,None,0.03,MEDIUM,56.1,HIGH,Foliar spray of Propiconazole 25 EC @ 1ml/L at first stripe sighting,synthetic_training_data
REC_01983,FIELD_060,2025-06-03,Tamil Nadu,Coimbatore,Groundnut,Kadiri-6,Flowering,51,11.3,Red Sandy Loam,7.22,76,25,34,82.3,28.3,94.1,50.9,0.57,11.0,12.6,4.3,Adequate,0,1,None,High,0.37,25.5,Tikka Leaf Spot,0.87,Thrips,0.64,HIGH,93.7,CRITICAL,Spray Carbendazim + Mancozeb @ 2g/L; avoid water stagnation Also Install blue sticky traps; spray Spinosad 45 SC,synthetic_training_data
REC_08260,FIELD_054,2025-07-27,Gujarat,Junagadh,Groundnut,GG-20 Bold,Maturity,115,5.3,Medium Black,7.15,54,37,52,65.1,26.7,50.9,0.0,0.25,11.4,1.3,10.2,Rainfed,0,1,Moderate,High,0.667,78.8,Tikka Leaf Spot,0.5,None,0.06,LOW,33.6,MEDIUM,Spray Carbendazim + Mancozeb @ 2g/L; avoid water stagnation,synthetic_training_data
REC_04088,FIELD_024,2025-10-21,Maharashtra,Kolhapur,Sugarcane,Co-0118,Grand Growth,147,6.8,Clay Loam,6.9,91,26,61,65.3,26.8,54.1,0.0,0.38,12.3,3.6,7.4,Adequate,0,1,None,High,0.523,53.5,Sugarcane Smut,0.71,Termites,0.47,HIGH,60.3,HIGH,Remove and incinerate whips in plastic bags; dip setts in Propiconazole,synthetic_training_data
REC_00518,FIELD_053,2026-03-24,Haryana,Hisar,Wheat,Sharbati Gold,Crown Root,23,10.9,Loam,6.38,51,52,46,53.7,13.4,36.2,0.0,0.25,6.9,0.9,9.2,Adequate,1,1,High,High,0.519,67.3,Wheat Yellow Rust,0.71,None,0.15,MEDIUM,58.4,HIGH,Foliar spray of Propiconazole 25 EC @ 1ml/L at first stripe sighting,synthetic_training_data
REC_04143,FIELD_085,2025-11-20,Madhya Pradesh,Sehore,Wheat,DBW-187,Maturity,132,12.3,Alluvial,7.96,84,60,73,91.8,24.5,83.2,36.4,0.74,13.4,13.2,3.7,Adequate,0,1,Low,High,0.51,50.0,Wheat Brown Rust,0.81,None,0.06,MEDIUM,60.7,HIGH,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves,synthetic_training_data
REC_05995,FIELD_023,2025-11-26,Uttar Pradesh,Agra,Potato,Kufri Pukhraj,Tuber Bulking,77,4.9,Alluvial,6.92,25,37,38,52.9,27.6,45.1,0.6,0.52,19.9,3.0,8.7,Deficit,1,0,High,Moderate,0.668,71.1,Potato Black Scurf,0.71,None,0.15,MEDIUM,44.0,MEDIUM,Tuber dip with Boric acid (3%) and practice earthing up,synthetic_training_data
REC_05997,FIELD_075,2025-11-11,Punjab,Bathinda,Cotton,Bt-Cotton-II,Flowering,81,13.6,Deep Clay,7.27,57,37,18,83.5,39.8,86.3,7.6,0.64,19.5,10.1,2.8,Excessive,0,0,Moderate,None,0.684,73.6,Cotton Leaf Curl Virus,0.64,None,0.09,MEDIUM,38.3,MEDIUM,Control whitefly vectors using Diafenthiuron 50 WP; remove infected weeds,synthetic_training_data
REC_04121,FIELD_100,2025-09-24,Rajasthan,Kota,Wheat,DBW-187,Jointing,72,5.9,Alluvial,7.03,58,10,65,52.0,10.7,75.4,6.8,0.83,18.0,14.8,3.0,Adequate,0,0,Moderate,Moderate,0.705,73.2,Wheat Yellow Rust,0.68,None,0.03,MEDIUM,37.9,MEDIUM,Foliar spray of Propiconazole 25 EC @ 1ml/L at first stripe sighting,synthetic_training_data
