irrigation_id,crop,total_water_need_mm,optimal_irrigation_method,critical_irrigation_stages,depletion_trigger_pct,daily_etc_mm,drought_sensitivity,waterlogging_sensitivity,smart_water_conservation_strategy
IRR-001,Rice (Paddy),1200-1500,Alternate Wetting and Drying (AWD) / Drip Paddy,"Transplanting, Tillering, Panicle Initiation, Flowering",15-20%,6.0-9.0,Extremely High,Extremely Low (Aquatic Adapted),Install AWD field water tubes (perforated PVC pipes); irrigate only when water drops 15 cm below soil surface
IRR-002,Wheat,400-500,Border Strip / Micro-Sprinkler,"Crown Root Initiation (CRI at 21d), Tillering, Jointing, Flowering, Milking",50-55%,3.0-5.5,High at CRI & Flowering,High (Suffers aeration stress >24h),Apply light irrigations; never skip CRI irrigation (accounts for 25% yield reduction if skipped); stop watering during strong winds to prevent lodging
IRR-003,Cotton,650-800,Drip Irrigation with Inline Emitters,"Square Formation, Peak Flowering, Boll Development",60%,4.5-7.0,Moderate (Deep tap root),High (Causes boll shedding within 48h waterlogging),Adopt paired-row drip layout (saving 45% water); maintain soil moisture between 60-70% field capacity; avoid watering late in season to prevent vegetative regrowth
IRR-004,Sugarcane,1800-2200,Sub-Surface Drip / Trash Mulched Furrows,"Germination, Tillering, Grand Growth Phase",50%,5.0-8.5,Moderate,Moderate (Can tolerate brief flood if drained promptly),Incorporate 10 cm sugarcane trash mulch to retain 30% soil moisture; fertigate via drip to cut evaporation loss
IRR-005,Soybean,450-550,Broad Bed Furrow (BBF) / Sprinkler,"Germination, Pod Initiation, Seed Filling",55-60%,3.5-5.5,High at Pod Filling,Very High (Poor nodulation under waterlogging),Sow on Broad Bed Furrows (BBF) to provide both drainage during heavy rains and moisture conservation during dry spells
IRR-006,Maize,500-650,Furrow / Drip Irrigation,"Early Vegetative (Knee High), Tasseling, Silking, Early Dough",50%,4.0-6.5,Critical at Tasseling & Silking,High (Stunts root growth and causes yellowing),Water stress during silking causes poor pollination and barren ears; ensure soil moisture is at least 65% during tasseling
IRR-007,Tomato,600-750,Drip Irrigation with Polyethylene Mulch,"Transplanting Recovery, Flowering, Fruit Enlargement",45-50%,3.5-6.0,High (Irregular watering causes Blossom End Rot),High (Induces root rot and bacterial wilt),Use silver-black reflective plastic mulch with drip irrigation; maintain uniform moisture to prevent fruit cracking and calcium deficiency
IRR-008,Potato,450-600,Furrow Irrigation on Raised Ridges,"Stolon Formation, Tuber Initiation, Tuber Bulking",35-40%,3.0-5.0,High at Tuber Bulking,High (Causes tuber rotting and lenticel opening),"Maintain light, frequent irrigations; do not allow ridge tops to submerge; cease watering 10-12 days prior to harvest to toughen skin"
IRR-009,Groundnut,400-550,Sprinkler / Check Basin,"Flowering, Pegging, Pod Development",60%,3.5-5.5,Critical at Pegging Stage,High (Causes pod rot and yellowing),Provide light sprinkler irrigation at pegging to facilitate penetration of pegs into soil; maintain loose friable soil surface
IRR-010,Chickpea,250-350,Residual Soil Moisture / Single Sprinkler,"Branching & Pre-Flowering",65-70%,2.5-4.0,Low (Very drought hardy),Very High (Excess moisture induces excessive vegetative growth and wilt),Grow primarily on conserved post-monsoon soil moisture; provide single supplemental irrigation at branching if soil is dry; do not irrigate at full bloom
IRR-011,Citrus Orchard,900-1100,Double-Ring Basin / Drip Micro-Jet,"Post-Water Stress Bloom, Fruit Set, Fruit Growth",50%,4.0-6.5,Moderate to High,Very High (Triggers Phytophthora collar rot),Withhold water for 35 days before flowering ('Bahar treatment'); keep tree trunks completely dry using double-ring layout
IRR-012,Banana,1500-1800,Drip Fertigation (4-6 emitters/plant),"Vegetative Sucker Growth, Inflorescence Shooting, Bunch Development",30-35%,5.5-8.0,High (Shallower root system),High (Causes pseudostem lodging and root decay),Deliver daily micro-irrigation scaled with pan evaporation; keep soil at field capacity without puddling
