target_issue,issue_category,priority,immediate_action,cultural_practice,biological_solution,ipm_protocol,expected_benefit,advisory_note
Rice Blast,Disease,HIGH,Drain excess standing water and cease top-dressing of urea nitrogen,Ensure wide spacing (20x15 cm) between hills to improve canopy aeration,Spray Pseudomonas fluorescens @ 2.5kg/ha or Trichoderma viride in early morning,Field monitoring twice weekly; apply systemic fungicide only if lesions exceed 5% leaf area,Halts sporulation spread and protects panicle neck from breakage,Follow local agricultural research center dosage guidelines strictly
Bacterial Leaf Blight,Disease,HIGH,Stop water flow across adjacent healthy plots to prevent bacterial wash,Avoid pruning or clipping of leaves; maintain bunds cleanly,Spray fresh cow dung supernatant (20g/L) strained through muslin cloth,Integrate resistant seed varieties with copper hydroxide protective barrier,Prevents epidemic spread through irrigation water,Consult local agricultural extension center for bactericide authorization
Tomato Early Blight,Disease,MODERATE,Pick and bury all infected lower leaves showing target-board concentric spots,Apply dry straw or silver reflective mulch to eliminate soil splash,Spray neem oil (3000 ppm) with sticker solution at 7-day intervals,Maintain drip irrigation instead of overhead sprinklers to keep foliage dry,Reduces reinfection cycle by 65-80% without chemical residue,Wear clean gloves while pruning to avoid spreading spores
Potato Late Blight,Disease,CRITICAL,Immediately isolate affected sector and cease all overhead irrigation,Earth-up soil firmly around tubers to create a 12-15 cm physical barrier,Apply Bacillus subtilis foliar protectant on healthy perimeter foliage,Execute preventative prophylactic copper spray immediately upon weather blight alert,Saves crop loss up to 85% if executed within 24 hours of first lesion,Chemical fungicide must follow national agrochemical registration regulations
Brown Planthopper,Pest,CRITICAL,Implement 'Alternate Wetting and Drying' (AWD) immediately for 3-4 days,Create alleyways (skip one row every 2-3 meters) to let sunlight reach plant base,Conserve natural spiders (Lycosa) and water bugs (Microvelia) by avoiding broad-spectrum sprays,Use light traps to track flight peaks; targeted basal spray of selective hopper insecticides,Collapses hopper population below economic threshold (ETL) in 48-72 hours,Never spray broad-spectrum pyrethroids which induce BPH resurgence
Fall Armyworm,Pest,CRITICAL,Crush visible egg masses and hand-collect early instar caterpillars from whorls,Intercrop maize with cowpea or desmodium (push-pull strategy),Apply Metarhizium anisopliae or Beauveria bassiana @ 5g/L directly into central whorl,Deploy pheromone traps at 5 per acre to intercept adult male moths,Prevents destructive whorl destruction and preserves cob yield,Whorl application is 3x more effective than general canopy broadcasting
Whiteflies,Pest,HIGH,Install 20 bright yellow sticky cards per acre slightly above the crop canopy,Eradicate alternate broadleaf weed hosts along field perimeters,"Release green lacewing larvae (Chrysoperla carnea) @ 10,000/ha",Surround field perimeter with 2 rows of barrier maize or pearl millet,"Reduces virus transmission rates (e.g. Leaf Curl) by up to 75%",Clean and replace sticky traps every 10-14 days for peak trapping efficiency
Aphids,Pest,MODERATE,Wash off colonies from shoot tips with a high-pressure cold water spray,Encourage beneficial ladybird beetles and syrphid fly maggots,Spray 5% Neem Seed Kernel Extract (NSKE) or insecticidal soap,Conserve predatory insects by avoiding non-selective sprays during bloom,Suppresses pest numbers below economic threshold naturally,Apply bio-sprays during late afternoon to protect pollinating honeybees
Pink Bollworm,Pest,CRITICAL,Inspect 20 green bolls per acre for rosette blooms and internal entry holes,Shred and destroy cotton stalks immediately after harvest; no ratoon cropping,Install 8 pheromone traps per acre and release Trichogramma bactrae wasps weekly,Time insecticide application strictly with peak pheromone moth catches,Prevents lint staining and locule destruction by internal larvae,Monitor night catches consecutively to gauge true flight dynamics
Soybean Rust,Disease,CRITICAL,Spray protective fungicide at onset of first brown uredinial pustule,Ensure proper row spacing (45 cm) for canopy sunlight and air circulation,Apply Trichoderma harzianum or neem seed kernel extract (5%),Monitor field microclimate for continuous leaf wetness exceeding 6 hours,Reduces pod yield collapse from 80% to under 8%,Do not delay chemical intervention once pustules appear on upper leaves
Citrus Gummosis,Disease,CRITICAL,Clean scrape dark gumming lesions on trunk collar down to healthy green wood,Convert flood irrigation to double-ring basin method keeping trunk bone dry,Drench collar zone with Trichoderma viride enriched in vermicompost,Paint collar with 1:1:10 Bordeaux paste and spray systemic metalaxyl if oozing continues,Prevents collar rot girdling and tree mortality in 90% of cases,Ensure grafting union is at least 25 cm above ground level
Onion Purple Blotch,Disease,HIGH,Spray systemic protective fungicide immediately following humid foggy morning,Maintain raised beds with furrow drainage to prevent root saturation,Foliar spray with Bacillus subtilis and 5% neem seed formulation,Rotate fields out of Allium crops for at least 2 consecutive seasons,Reduces bulb rotting in field and subsequent storage loss by 60%,Always add non-ionic sticker adjuvant to spray liquid on waxy onion leaves
