commodity_id,commodity_name,crop_category,quality_grade,msp_per_quintal_inr,modal_mandi_price_inr,peak_arrival_window,safe_storage_moisture_pct,storage_shelf_life_months,post_harvest_value_addition
MKT-001,Paddy (Common Rice),Cereals,FAQ Grade A,2300,2350-2500,October - December,13-14%,12-18,Parboiling to preserve vitamin B1; custom milling; destoning and sorting for export grade
MKT-002,Paddy (Basmati),Cereals,Super Fine Aromatic,Market Determined (Non-MSP),3600-4200,November - January,12-13%,24 (Aged Basmati commands premium),Store aged paddy in aerated silos; vacuum packaging for premium retail aroma retention
MKT-003,Wheat,Cereals,FAQ Mill Quality,2275,2320-2450,April - May,11-12%,12-24,Hermetic bag storage (PICS bags) to prevent grain weevil attack without chemical fumigation; whole grain flour milling
MKT-004,Cotton (Medium Staple),Fiber Crops,FAQ (24.5-25.5 mm),6620,6800-7200,November - February,8-9%,12,Ginning and pressing into 170 kg bales; oil extraction from cottonseed cake for livestock feed
MKT-005,Cotton (Long Staple),Fiber Crops,FAQ (29.5-30.5 mm),7020,7250-7800,November - March,8-9%,12,Moisture testing before ginning; trash content below 3% to secure Grade-1 mill price premium
MKT-006,Soybean,Oilseeds,Yellow Clean FAQ,4600,4750-5100,October - November,10-11%,9-12,Cleaned and graded whole seed; extraction into defatted soy meal (DOC) for protein feed and crude soy oil
MKT-007,Maize (Corn),Coarse Cereals,FAQ Yellow Industrial,2090,2150-2300,October - December,13-14%,9-12,"High-temperature moisture drying to prevent aflatoxin mold; starch extraction, ethanol feed, and poultry feed formulation"
MKT-008,Groundnut (Pods),Oilseeds,Bold FAQ,6377,6500-7100,October - December,8-9%,9-12,Dry pods below 8% moisture immediately after digging to prevent Aspergillus flavus (aflatoxin); cold-pressed peanut oil
MKT-009,Pigeon Pea (Tur / Arhar),Pulses,FAQ Grade,7000,7400-8200,January - March,10-11%,12-18,Processing in mini-dal mills for dehulling into polished splits; vacuum packaging for long-term farm storage
MKT-010,Chickpea (Chana),Pulses,Desi FAQ,5440,5600-6000,March - April,9-10%,12-18,Cleaning and sizing into bold chana; roasted chana snack production; besan (gram flour) milling
MKT-011,Mustard / Rapeseed,Oilseeds,FAQ (40% Oil Content),5650,5800-6200,March - May,7-8%,12,Cold expeller crushing for virgin pungent mustard oil; mustard seed cake as organic nitrogen fertilizer
MKT-012,Tomato (Fresh Market),Vegetables,Grade-A Crimson,Perishable (No MSP),1200-2400 (Seasonal Volatility),Year-round / Peak Nov-Feb,Perishable (85-90% RH cold room),1-2 weeks (Cold store at 10-12C),Solar tunnel dehydration into sun-dried tomato slices; pureeing and aseptic paste packaging
MKT-013,Potato (Table & Processing),Vegetables,Chip Grade (Kufri Chipsona),Perishable (No MSP),1100-1800 (Seasonal),February - April,Cool dark store with CIPC sprout suppressant,6-9 months (Cold store 2-4C),Curing skins for 10 days before cold storage; grading for commercial chip processors
MKT-014,Onion (Red Rabi),Vegetables,Nashik Red Export Grade,Perishable (No MSP),1400-2600 (Seasonal),April - May,Well ventilated bottom-air chawl (<65% RH),4-6 months (Traditional ventilated chawl),Thorough field neck curing for 15 days; sorting into export size (45-55 mm); onion dehydration powder
MKT-015,Sugarcane (FRP),Sugar / Cash,10.25% Sugar Recovery Benchmark,315 per quintal (FRP),Mill Gate Regulated,November - April,Must crush within 24-48 hours of cutting,Crush immediately,Jaggery (Gur) and artisanal liquid jaggery (Kakvi) manufacturing; bagasse briquettes for bio-energy
