crop,variety,location,field,date,growth_stage,temperature,humidity,rainfall,soil_moisture,crop_health_score,disease,disease_probability,pest,pest_probability,severity,risk_level,recommended_action
Rice,Basmati-Super,Sector 1 - Northern Plains,Field-N-01,2026-08-10,Tillering,29.5,88,14.2,76,52,Rice Blast,0.89,None,0.12,High,CRITICAL,Apply tricyclazole 75 WP @ 0.6g/L and drain stagnant floodwater
Rice,IR-64 High-Yield,Sector 2 - Central Plains,Field-C-02,2026-08-12,Panicle Initiation,31.0,84,8.5,68,58,Bacterial Leaf Blight,0.82,Brown Planthopper,0.64,Moderate,HIGH,Apply copper hydroxide and install yellow sticky cards at canopy base
Rice,Swarna Medium,Sector 3 - Eastern Basin,Field-E-04,2026-08-15,Booting,28.2,92,22.0,82,45,Sheath Blight,0.91,Stem Borer,0.55,High,CRITICAL,Apply validamycin 3L and release Trichogramma egg parasitoids
Wheat,HD-2967 Prime,Sector 1 - Northern Plains,Field-N-02,2026-07-28,Jointing,21.5,72,0.0,55,88,None,0.08,None,0.05,Low,LOW,Maintain light irrigation and inspect lower canopy weekly
Wheat,PBW-550 Early,Sector 1 - Northern Plains,Field-N-03,2026-08-01,Heading,23.0,78,4.5,62,64,Yellow Rust,0.85,Aphids,0.42,Moderate,HIGH,Spray propiconazole 25 EC at first flag leaf pustule sighting
Wheat,Sharbati Gold,Sector 2 - Central Plains,Field-C-05,2026-08-05,Milking,25.4,65,0.0,48,78,Powdery Mildew,0.38,None,0.10,Mild,MODERATE,Monitor canopy humidity and ensure balanced nitrogen without excess urea
Tomato,Pusa Ruby,Sector 4 - Southern Valley,Field-S-01,2026-08-14,Fruiting,26.8,85,12.0,70,48,Tomato Early Blight,0.94,Whiteflies,0.78,High,CRITICAL,Prune infected lower foliage and apply mancozeb 75 WP @ 2g/L
Tomato,Abhinav Hybrid,Sector 5 - Western Belt,Field-W-02,2026-08-18,Flowering,27.5,82,9.0,65,60,Tomato Late Blight,0.76,Fruit Borer,0.58,Moderate,HIGH,Spray dimethomorph and deploy sex pheromone lures @ 5/acre
Tomato,Vaibhav Fresh,Sector 5 - Western Belt,Field-W-04,2026-08-20,Vegetative,30.2,70,2.0,58,84,None,0.15,Whiteflies,0.35,Mild,MODERATE,Install yellow sticky cards and spray 5% neem seed kernel extract
Potato,Kufri Jyoti,Sector 1 - Northern Plains,Field-N-05,2026-08-11,Tuber Bulking,22.4,90,18.0,80,42,Potato Late Blight,0.96,Aphids,0.40,High,CRITICAL,Apply cymoxanil with mancozeb and avoid overhead sprinkler watering
